"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"170541","AT 2025kw","17:24:09.866","+82:15:44.51","","","","","","","","","","Other - Other","","1","1","","17.9","Clear-","2025-01-12 14:21:01.078","Ziyang Mai","","","","","",""
"170539","AT 2025kv","05:03:31.670","-70:24:10.69","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia25acv","Gaia - Gaia-photometric","","1","1","","17.68","G-Gaia","2025-01-10 10:48:00.000","Gaia_Bot1","","","","","",""
"170538","AT 2025ku","21:44:32.260","+20:11:38.83","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia25acq","Gaia - Gaia-photometric","","1","1","","18.92","G-Gaia","2025-01-10 12:38:52.800","Gaia_Bot1","","","","","",""
"170537","AT 2025kt","16:44:20.949","+77:50:29.33","","","","","GOTO, ZTF","GOTO, ZTF","","GOTO, ZTF","GOTO25gd","GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam","","1","1","","18.4","L-GOTO","2025-01-12 06:28:55.776","GOTO_bot","","","","","",""
"170536","AT 2025ks","14:11:51.493","+05:27:18.04","","","","","ZTF","ZTF","","ZTF","ZTF25aabreco","P48 - ZTF-Cam","","1","1","","19.5678","g-ZTF","2025-01-04 13:07:35.996","Fritz","","","","","",""
"170535","AT 2025kr","11:10:52.457","+05:05:28.91","","","","","GOTO","GOTO","","GOTO","GOTO25gg","GOTO-N - GOTO-2","","1","1","","19.09","L-GOTO","2025-01-08 02:20:43.872","GOTO_bot","","","","","",""
"170534","AT 2025kq","17:29:06.782","+74:15:18.43","","","","","GOTO","GOTO","","GOTO","GOTO25gc","GOTO-N - GOTO-1, GOTO-N - GOTO-2","","1","1","","18.11","L-GOTO","2025-01-12 06:28:55.776","GOTO_bot","","","","","",""
"170533","AT 2025kp","00:42:48.207","+23:37:42.76","","","","","ZTF","ZTF","","ZTF","ZTF25aaatsux","P48 - ZTF-Cam","","1","1","","20.4203","g-ZTF","2025-01-04 02:52:33.000","Fritz","","","","","",""
"170532","AT 2025ko","11:41:59.248","-08:47:07.54","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25aka","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","18.791","cyan-ATLAS","2025-01-10 01:28:31.008","ATLAS_Bot1","","","2025TNSTR.150....1T","","",""
"170531","AT 2025kn","10:19:12.537","+38:22:34.83","","","","","YSE","Pan-STARRS","","Pan-STARRS","PS25cb","PS2 - GPC2","","1","1","","21.03","g-P1","2025-01-07 12:49:58.080","YSE_Bot1","","","2025TNSTR.154....1J","","",""
"170530","AT 2025km","01:46:46.312","+17:24:01.23","","","SDSS J014646.29+172406.3","","ALeRCE","ZTF","","ZTF","ZTF25aaboumb","P48 - ZTF-Cam","","1","1","","19.1578","g-ZTF","2025-01-11 03:09:21.997","ALeRCE","","","2025TNSTR.149....1M","","",""
"170529","AT 2025kl","01:11:52.757","+20:23:57.13","","","SDSS J011152.60+202358.9","","ALeRCE","ZTF","","ZTF","ZTF25aabowed","P48 - ZTF-Cam","","1","1","","18.1134","g-ZTF","2025-01-11 03:41:25.996","ALeRCE","","","2025TNSTR.149....1M","","",""
"170528","AT 2025kk","07:58:41.353","+02:00:10.09","","","WISEA J075841.30+020009.8","","ALeRCE","ZTF","","ZTF","ZTF25aabqdqc","P48 - ZTF-Cam","","1","1","","19.4461","r-ZTF","2025-01-11 08:35:36.004","ALeRCE","","","2025TNSTR.149....1M","","",""
"170527","AT 2025kj","14:10:39.017","-05:53:34.93","","","LCRS B140801.7-053930","","ALeRCE","ZTF","","ZTF","ZTF25aabreke","P48 - ZTF-Cam","","1","1","","18.5206","r-ZTF","2025-01-11 10:38:41.001","ALeRCE","","","2025TNSTR.149....1M","","",""
"170526","AT 2025ki","00:42:45.380","+41:16:35.20","","","M31","-0.001","XOSS","XOSS","","XOSS","PSP25A","Other - Other","","1","1","","17.34","Clear-","2025-01-11 12:18:50.976","Mi Zhang","","","2025TNSTR.153....1M","","",""
"170525","AT 2025kh","11:22:08.440","+80:13:48.08","","","","","ZTF","ZTF","","ZTF","ZTF25aabqiec","P48 - ZTF-Cam","","1","1","","20.2293","r-ZTF","2025-01-04 08:00:34.997","Fritz","","","2025TNSTR.155....1S","","",""
"170524","AT 2025kg","03:42:28.375","-22:30:21.13","","","","","","","","","","LT - IO-O","","1","1","","20.79","g-Sloan","2025-01-09 19:59:08.000","Rob Eyles-Ferris","","","2025TNSTR.151....1E","","",""
"170523","AT 2025kf","00:25:41.594","-37:53:28.03","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25ajy","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","17.995","orange-ATLAS","2025-01-08 19:09:39.168","ATLAS_Bot1","","","2025TNSTR.150....1T","","",""
"170522","AT 2025ke","05:37:42.286","-53:46:06.71","","","","","ATLAS, GOTO","ATLAS, GOTO","","ATLAS, GOTO","ATLAS25ajx","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, GOTO-S - GOTO-4","","1","1","","18.656","orange-ATLAS","2025-01-10 21:31:56.352","ATLAS_Bot1","","","2025TNSTR.150....1T","","",""
"170521","AT 2025kd","05:45:53.170","-25:53:17.01","","","","","ZTF","ZTF","","ZTF","ZTF25aabpoxz","P48 - ZTF-Cam","","1","1","","19.5052","g-ZTF","2025-01-11 06:00:33.998","Fritz","","","2025TNSTR.155....1S","","",""
"170519","AT 2025kc","07:09:35.389","+24:21:51.56","","","","","ZTF","ZTF","","ZTF","ZTF25aaawxbh","P48 - ZTF-Cam","","1","1","","20.3562","g-ZTF","2025-01-06 05:11:06.996","Fritz","","","2025TNSTR.155....1S","","",""
"170518","AT 2025kb","07:10:55.402","+61:07:46.61","","","","","ZTF","ZTF","","ZTF","ZTF25aaaytnj","P48 - ZTF-Cam","","1","1","","19.5791","i-ZTF","2025-01-06 08:54:50.999","Fritz","","","2025TNSTR.155....1S","","",""
"170517","AT 2025ka","05:57:07.805","+46:40:29.14","","","","","ZTF","ZTF","","ZTF","ZTF25aaampkd","P48 - ZTF-Cam","","1","1","","20.6576","g-ZTF","2025-01-04 05:49:21.002","Fritz","","","2025TNSTR.155....1S","","",""
"170516","AT 2025jz","01:48:28.754","-36:34:16.61","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25ajv","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","18.668","orange-ATLAS","2025-01-10 01:54:34.848","ATLAS_Bot1","","","2025TNSTR.150....1T","","",""
"170515","AT 2025jy","05:30:17.292","-51:56:57.76","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25aju","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","18.864","orange-ATLAS","2025-01-10 21:31:56.352","ATLAS_Bot1","","","2025TNSTR.150....1T","","",""
"170514","AT 2025jx","03:03:50.447","-00:12:13.08","","","","","ZTF","ZTF","","ZTF","ZTF25aabovpf","P48 - ZTF-Cam","","1","1","","18.4453","g-ZTF","2025-01-11 03:34:34.999","Fritz","","","2025TNSTR.156....1R","","",""
"170513","AT 2025jw","23:19:59.094","+30:20:51.41","","","","","ZTF","ZTF","","ZTF","ZTF25aabosqp","P48 - ZTF-Cam","","1","1","","19.3131","r-ZTF","2025-01-09 04:22:49.002","Fritz","","","2025TNSTR.155....1S","","",""
"170512","AT 2025jv","08:19:45.078","+57:40:25.31","","","","","ZTF","ZTF","","ZTF","ZTF25aaboyct","P48 - ZTF-Cam","","1","1","","19.8933","g-ZTF","2025-01-09 07:17:06.002","Fritz","","","2025TNSTR.155....1S","","",""
"170511","AT 2025ju","07:17:45.282","+51:23:50.29","","","","","ZTF","ZTF","","ZTF","ZTF25aaasaqx","P48 - ZTF-Cam","","1","1","","20.1168","g-ZTF","2025-01-05 07:53:51.000","Fritz","","","2025TNSTR.155....1S","","",""
"170510","AT 2025jt","05:57:53.595","+45:25:48.56","","","","","ZTF","ZTF","","ZTF","ZTF25aaampoh","P48 - ZTF-Cam","","1","1","","20.5","g-ZTF","2025-01-04 05:49:21.002","Fritz","","","2025TNSTR.155....1S","","",""
"170509","AT 2025js","07:16:13.650","+60:00:45.40","","","","","ZTF","ZTF","","ZTF","ZTF25aabpexp","P48 - ZTF-Cam","","1","1","","19.3228","g-ZTF","2025-01-08 10:28:44.996","Fritz","","","2025TNSTR.155....1S","","",""
"170508","AT 2025jr","07:41:35.778","+13:10:41.92","","","","","ZTF","ZTF","","ZTF","ZTF25aabpfxn","P48 - ZTF-Cam","","1","1","","19.0254","g-ZTF","2025-01-08 07:23:33.999","Fritz","","","2025TNSTR.155....1S","","",""
"170507","AT 2025jq","07:25:54.708","+11:08:02.53","","","","","ZTF","ZTF","","ZTF","ZTF25aabpgqt","P48 - ZTF-Cam","","1","1","","20.8594","g-ZTF","2025-01-02 08:29:06.996","Fritz","","","2025TNSTR.155....1S","","",""
"170505","AT 2025jp","07:55:15.642","+39:26:53.02","","","","","ZTF","ZTF","","ZTF","ZTF25aaamuah","P48 - ZTF-Cam","","1","1","","20.7837","r-ZTF","2025-01-02 06:34:21.996","Fritz","","","2025TNSTR.155....1S","","",""
"170504","AT 2025jo","08:13:21.182","+33:52:55.87","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS25by","PS1 - GPC1","","1","1","","20.01","i-P1","2025-01-09 08:48:00.288","PS1_Bot1","","","2025TNSTR.152....1C","","",""
"170503","AT 2025jn","12:59:42.165","-05:15:46.91","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS25bw","PS2 - GPC2","","1","1","","21.65","w-P1","2025-01-08 14:17:43.296","PS1_Bot1","","","2025TNSTR.152....1C","","",""
"170502","AT 2025jm","12:37:55.348","+05:24:53.22","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS25bu","PS1 - GPC1","","1","1","","21.16","w-P1","2025-01-08 15:12:49.824","PS1_Bot1","","","2025TNSTR.152....1C","","",""
"170501","AT 2025jl","14:54:36.131","+04:18:55.36","","","","","GOTO","GOTO","","GOTO","GOTO25fz","GOTO-N - GOTO-2","","1","1","","18.69","L-GOTO","2025-01-06 06:01:27.264","GOTO_bot","","","2025TNSTR.140....1O","","",""
"170500","AT 2025jk","10:46:17.440","+29:21:36.18","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia25aco","Gaia - Gaia-photometric","","1","1","","18.96","G-Gaia","2025-01-09 02:57:07.200","Gaia_Bot1","","","2025TNSTR.136....1H","","",""
"170499","AT 2025jj","10:13:17.220","-01:10:56.21","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia25acm","Gaia - Gaia-photometric","","1","1","","18.33","G-Gaia","2025-01-08 21:27:21.600","Gaia_Bot1","","","2025TNSTR.136....1H","","",""
