"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"168658","AT 2024aelr","09:13:47.423","+51:12:57.47","","","","","ZTF","ZTF","","ZTF","ZTF24abysvxz","P48 - ZTF-Cam","","1","1","","19.4807","g-ZTF","2024-12-20 06:19:19.004","Fritz","","","",""
"168653","AT 2024aelm","12:17:45.405","+36:49:36.80","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS24muy","PS1 - GPC1","","1","1","","20.75","z-P1","2024-12-19 15:59:21.408","PS1_Bot1","","","",""
"168652","AT 2024aell","11:54:13.293","+39:54:16.33","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS24mux","PS2 - GPC2","","1","1","","20.1","y-P1","2024-12-19 16:10:19.776","PS1_Bot1","","","",""
"168643","AT 2024aelc","04:30:24.633","-26:36:34.17","","","","","ZTF","ZTF","","ZTF","ZTF24abyizic","P48 - ZTF-Cam","","1","1","","19.151","r-ZTF","2024-12-20 07:32:46.000","Fritz","","","",""
"168640","AT 2024aekz","15:40:56.001","+45:02:05.92","","","","","ZTF","ZTF","","ZTF","ZTF24abylbjf","P48 - ZTF-Cam","","1","1","","19.8317","g-ZTF","2024-12-20 12:25:20.000","Fritz","","","",""
"168631","AT 2024aekq","02:32:59.925","+35:48:06.02","","","","","ZTF","ZTF","","ZTF","ZTF24abynfdk","P48 - ZTF-Cam","","1","1","","19.5896","r-ZTF","2024-12-21 03:10:21.000","Fritz","","","",""
"168628","AT 2024aekn","23:25:44.938","+20:13:46.78","","","","","GOTO","GOTO","","GOTO","GOTO24jes","GOTO-N - GOTO-1, GOTO-N - GOTO-2","","1","1","","19.41","L-GOTO","2024-12-20 19:51:55.872","GOTO_bot","","2024TNSTR4984....1O","",""
"168627","AT 2024aekm","03:50:47.478","-07:06:16.42","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24roe","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.431","cyan-ATLAS","2024-12-20 19:39:12.960","ATLAS_Bot1","","2024TNSTR4979....1T","",""
"168625","AT 2024aekk","06:17:29.490","-26:55:03.33","","","","","GOTO","GOTO","","GOTO","GOTO24jef","GOTO-N - GOTO-2, GOTO-S - GOTO-3","","1","1","","19.56","L-GOTO","2024-12-20 14:43:27.264","GOTO_bot","","2024TNSTR4981....1K","",""
"168622","AT 2024aekh","13:49:48.662","-24:29:19.18","","","","","GOTO","GOTO","","GOTO","GOTO24jel","GOTO-S - GOTO-4","","1","1","","18.35","L-GOTO","2024-12-20 17:42:00.864","GOTO_bot","","2024TNSTR4985....1O","",""
"168620","AT 2024aekf","23:28:05.056","+21:52:14.37","","","","","YSE","Pan-STARRS","","Pan-STARRS; YSE","PS24mug","PS1 - GPC1","","1","1","","19.97","r-P1","2024-12-20 06:49:12.288","YSE_Bot1","","2024TNSTR4989....1J","",""
"168619","AT 2024aeke","00:37:11.574","+02:48:33.19","","","","","YSE, ZTF","Pan-STARRS, ZTF","","Pan-STARRS; YSE; ZTF","PS24mui","P48 - ZTF-Cam, PS1 - GPC1","","1","1","","19.82","i-P1","2024-12-20 05:02:12.768","YSE_Bot1","","2024TNSTR4989....1J","",""
"168618","AT 2024aekd","03:50:36.102","-19:01:19.35","","","","","YSE","Pan-STARRS","","Pan-STARRS; YSE","PS24muh","PS2 - GPC2","","1","1","","20.32","i-P1","2024-12-20 07:11:59.136","YSE_Bot1","","2024TNSTR4989....1J","",""
"168617","AT 2024aekc","00:30:15.008","+16:56:27.30","","","","","YSE","Pan-STARRS","","Pan-STARRS; YSE","PS24muf","PS1 - GPC1","","1","1","","20.31","r-P1","2024-12-20 06:55:10.848","YSE_Bot1","","2024TNSTR4989....1J","",""
"168616","AT 2024aekb","04:22:16.949","-21:13:38.72","","","","","YSE","Pan-STARRS","","Pan-STARRS; YSE","PS24mue","PS1 - GPC1","","1","1","","20.03","r-P1","2024-12-20 08:29:16.224","YSE_Bot1","","2024TNSTR4989....1J","",""
"168611","AT 2024aejw","15:57:19.343","+54:40:07.81","","","","","ZTF","ZTF","","ZTF","ZTF24abyhmba","P48 - ZTF-Cam","","1","1","","18.4679","i-ZTF","2024-12-19 13:10:24.000","Fritz","","2024TNSTR4990....1S","",""
"168610","AT 2024aejv","16:02:58.918","+53:37:08.00","","","","","ZTF","ZTF","","ZTF","ZTF24abylbgi","P48 - ZTF-Cam","","1","1","","19.9503","g-ZTF","2024-12-20 12:24:39.997","Fritz","","2024TNSTR4990....1S","",""
"168609","AT 2024aeju","15:21:04.987","-08:40:23.59","","","","","ZTF","ZTF","","ZTF","ZTF24abyhowu","P48 - ZTF-Cam","","1","1","","19.1556","r-ZTF","2024-12-19 13:35:17.001","Fritz","","2024TNSTR4990....1S","",""
"168607","AT 2024aejs","11:02:31.148","-16:50:21.85","","","","","ZTF","ZTF","","ZTF","ZTF24abyksvh","P48 - ZTF-Cam","","1","1","","18.6992","g-ZTF","2024-12-20 11:04:44.002","Fritz","","2024TNSTR4990....1S","",""
"168603","AT 2024aejo","15:12:36.933","+32:33:52.09","","","","","ZTF","ZTF","","ZTF","ZTF24abykwta","P48 - ZTF-Cam","","1","1","","19.4498","r-ZTF","2024-12-20 11:46:40.998","Fritz","","2024TNSTR4990....1S","",""
"168602","AT 2024aejn","14:36:50.852","+16:50:33.51","","","","","ZTF","ZTF","","ZTF","ZTF24abykwsz","P48 - ZTF-Cam","","1","1","","18.4903","r-ZTF","2024-12-20 11:45:19.998","Fritz","","2024TNSTR4990....1S","",""
"168600","AT 2024aejl","22:14:57.267","-37:13:32.42","","","","","GOTO","GOTO","","GOTO","GOTO24jea","GOTO-S - GOTO-3","","1","1","","19.09","L-GOTO","2024-12-20 10:30:59.616","GOTO_bot","","2024TNSTR4982....1K","",""
"168599","AT 2024aejk","07:43:07.036","-84:01:37.67","","","","","GOTO","GOTO","","GOTO","GOTO24jdv","GOTO-S - GOTO-3, GOTO-S - GOTO-4","","1","1","","19.12","L-GOTO","2024-12-20 11:30:19.296","GOTO_bot","","2024TNSTR4986....1U","",""
"168597","AT 2024aeji","22:46:16.129","-35:56:53.92","","","","","GOTO","GOTO","","GOTO","GOTO24jdw","GOTO-S - GOTO-3","","1","1","","18.8","L-GOTO","2024-12-20 11:11:58.560","GOTO_bot","","2024TNSTR4983....1K","",""
"168595","AT 2024aejg","13:16:56.406","+80:07:47.17","","","","","ZTF","ZTF","","ZTF","ZTF24abykosx","P48 - ZTF-Cam","","1","1","","19.1582","g-ZTF","2024-12-20 10:19:59.001","Fritz","","2024TNSTR4990....1S","",""
"168594","AT 2024aejf","22:20:19.148","+17:03:29.45","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rnt","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","18.761","orange-ATLAS","2024-12-20 06:28:20.352","ATLAS_Bot1","","2024TNSTR4979....1T","",""
"168593","AT 2024aeje","01:27:13.486","-12:11:11.86","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rns","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02","","1","1","","18.875","orange-ATLAS","2024-12-20 07:41:43.296","ATLAS_Bot1","","2024TNSTR4979....1T","",""
"168591","AT 2024aejc","22:28:38.925","+06:35:49.75","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rnq","ATLAS-HKO - ATLAS-02","","1","1","","19.374","orange-ATLAS","2024-12-20 05:17:46.752","ATLAS_Bot1","","2024TNSTR4979....1T","",""
"168590","AT 2024aejb","02:41:39.163","-70:20:10.46","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rnp","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","18.53","orange-ATLAS","2024-12-20 02:39:16.704","ATLAS_Bot1","","2024TNSTR4979....1T","",""
"168589","AT 2024aeja","23:58:56.662","-14:27:17.58","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rni","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02","","1","1","","19.106","orange-ATLAS","2024-12-20 06:37:28.992","ATLAS_Bot1","","2024TNSTR4979....1T","",""
"168583","AT 2024aeiu","03:05:06.738","-15:54:25.91","","","","","ZTF","ZTF","","ZTF","ZTF24abyipps","P48 - ZTF-Cam","","1","1","","19.2198","g-ZTF","2024-12-20 06:08:03.001","Fritz","","2024TNSTR4990....1S","",""
